# Huber Tabulated Antineutrino Spectra
# Extracted from PHYSICAL REVIEW C 84, 024617 (2011)
# By Tom Langford, May 24, 2018
# The columns have the following definitions:
#   Enu: Antineutrino energy (bin center) [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
# Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
8.690 1.134600e-04 1.063624e-03 2.287057e-05 1.055444e-04
8.700 1.081041e-04 1.041622e-03 2.156982e-05 1.014803e-04
8.710 1.029615e-04 1.020014e-03 2.033320e-05 9.754811e-05
8.720 9.802591e-05 9.987933e-04 1.915811e-05 9.374442e-05
8.730 9.329068e-05 9.779546e-04 1.804206e-05 9.006595e-05
8.740 8.874949e-05 9.574920e-04 1.698259e-05 8.650949e-05
8.750 8.439612e-05 9.373998e-04 1.597736e-05 8.307187e-05
8.760 8.022446e-05 9.176726e-04 1.502406e-05 7.974996e-05
8.770 7.622853e-05 8.983047e-04 1.412048e-05 7.654070e-05
8.780 7.240248e-05 8.792907e-04 1.326447e-05 7.344108e-05
8.790 6.874057e-05 8.606254e-04 1.245393e-05 7.044814e-05
8.800 6.523722e-05 8.423032e-04 1.168686e-05 6.755897e-05
8.810 6.188693e-05 8.243190e-04 1.096131e-05 6.477071e-05
8.820 5.868437e-05 8.066676e-04 1.027539e-05 6.208057e-05
8.830 5.562429e-05 7.893438e-04 9.627286e-06 5.948579e-05
8.840 5.270161e-05 7.723426e-04 9.015244e-06 5.698368e-05
8.850 4.991133e-05 7.556589e-04 8.437570e-06 5.457159e-05
8.860 4.724862e-05 7.392878e-04 7.892632e-06 5.224691e-05
8.870 4.470873e-05 7.232245e-04 7.378859e-06 5.000712e-05
8.880 4.228706e-05 7.074640e-04 6.894737e-06 4.784972e-05
8.890 3.997911e-05 6.920017e-04 6.438809e-06 4.577225e-05
8.900 3.778053e-05 6.768328e-04 6.009675e-06 4.377235e-05
8.910 3.568706e-05 6.619527e-04 5.605990e-06 4.184764e-05
8.920 3.369457e-05 6.473567e-04 5.226461e-06 3.999586e-05
8.930 3.179906e-05 6.330403e-04 4.869849e-06 3.821475e-05
8.940 2.999661e-05 6.189991e-04 4.534963e-06 3.650212e-05
8.950 2.828345e-05 6.052287e-04 4.220664e-06 3.485583e-05
8.960 2.665591e-05 5.917245e-04 3.925860e-06 3.327377e-05
8.970 2.511043e-05 5.784825e-04 3.649505e-06 3.175389e-05
